R6|C2=|C3=|C4=|C5=|C7=|C9=|C21=Valuta|C22=IDR|C23=Kurs Lama|C24=Kurs Baru|C25=Saldo IDR|C26=Selisih
R1536|C2=|C3=02.1707053|C4=|C5=25-07-2017|C7=IDR|C9=1,00|C21=0,00|C22=11.880.000,00|C23=1,00|C24=1,00|C25=11.880.000,00|C26=0,00
R1537|C2=|C3=02.1707058|C4=|C5=27-07-2017|C7=IDR|C9=1,00|C21=0,00|C22=15.435.803,00|C23=1,00|C24=1,00|C25=15.435.803,00|C26=0,00
R1538|C2=|C3=02.1708018|C4=|C5=09-08-2017|C7=IDR|C9=1,00|C21=0,00|C22=1.624.115,00|C23=1,00|C24=1,00|C25=1.624.115,00|C26=0,00
R1539|C2=|C3=02.1708081|C4=|C5=29-08-2017|C7=IDR|C9=1,00|C21=0,00|C22=1.496.880,00|C23=1,00|C24=1,00|C25=1.496.880,00|C26=0,00
R1540|C2=|C3=02.1710004|C4=|C5=03-10-2017|C7=IDR|C9=1,00|C21=0,00|C22=1.559.269,60|C23=1,00|C24=1,00|C25=1.559.269,60|C26=0,00
R1541|C2=|C3=02.1710077|C4=|C5=26-10-2017|C7=IDR|C9=1,00|C21=0,00|C22=1.651.183,20|C23=1,00|C24=1,00|C25=1.651.183,20|C26=0,00
R1628|C2=|C3=02.2312031|C4=|C5=29-12-2023|C7=IDR|C9=1,00|C21=0,00|C22=311.688,00|C23=1,00|C24=1,00|C25=311.688,00|C26=0,00
R2882|C2=|C3=03.1808061|C4=|C5=31-08-2018|C7=IDR|C9=1,00|C21=0,00|C22=36.000.000,00|C23=1,00|C24=1,00|C25=36.000.000,00|C26=0,00
R3471|C2=|C3=03.1905006|C4=|C5=04-05-2019|C7=IDR|C9=1,00|C21=0,00|C22=60.000.000,00|C23=1,00|C24=1,00|C25=60.000.000,00|C26=0,00
R3548|C2=|C3=03.1912052|C4=|C5=20-12-2019|C7=IDR|C9=1,00|C21=0,00|C22=14.000.000,00|C23=1,00|C24=1,00|C25=14.000.000,00|C26=0,00
R3706|C2=|C3=03.2510027|C4=|C5=17-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=51.060.000,00|C23=1,00|C24=1,00|C25=51.060.000,00|C26=0,00
