R6|C2=|C3=|C4=|C5=|C7=|C9=|C21=Valuta|C22=IDR|C23=Kurs Lama|C24=Kurs Baru|C25=Saldo IDR|C26=Selisih
R9290|C2=|C3=03.2511056|C4=|C5=18-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=77.700.000,00|C23=1,00|C24=1,00|C25=77.700.000,00|C26=0,00
R9292|C2=|C3=03.2511107|C4=|C5=28-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=77.700.000,00|C23=1,00|C24=1,00|C25=77.700.000,00|C26=0,00
R9295|C2=|C3=03.2512062|C4=|C5=22-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=51.060.000,00|C23=1,00|C24=1,00|C25=51.060.000,00|C26=0,00
R9296|C2=|C3=03.2512082|C4=|C5=31-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=51.060.000,00|C23=1,00|C24=1,00|C25=51.060.000,00|C26=0,00
R9424|C2=|C3=02.2512034|C4=|C5=22-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=2.640.690,00|C23=1,00|C24=1,00|C25=2.640.690,00|C26=0,00
R9456|C2=|C3=03.2512053|C4=|C5=16-12-2025|C7=USD|C9=#####|C21=23.088,00|C22=384.345.936,00|C23=16.647,00|C24=16.782,00|C25=387.462.816,00|C26=3.116.880,00
R9457|C2=|C3=03.2512078|C4=|C5=29-12-2025|C7=USD|C9=#####|C21=23.088,00|C22=385.661.952,00|C23=16.704,00|C24=16.782,00|C25=387.462.816,00|C26=1.800.864,00
R9458|C2=|C3=03.2512079|C4=|C5=29-12-2025|C7=USD|C9=#####|C21=23.088,00|C22=385.661.952,00|C23=16.704,00|C24=16.782,00|C25=387.462.816,00|C26=1.800.864,00
R9750|C2=|C3=02.2508019|C4=|C5=21-08-2025|C7=IDR|C9=1,00|C21=0,00|C22=30.763.206,00|C23=1,00|C24=1,00|C25=30.763.206,00|C26=0,00
R9751|C2=|C3=02.2510039|C4=|C5=30-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=3.608.388,00|C23=1,00|C24=1,00|C25=3.608.388,00|C26=0,00
R9752|C2=|C3=02.2511002|C4=|C5=04-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=2.743.254,00|C23=1,00|C24=1,00|C25=2.743.254,00|C26=0,00
R9753|C2=|C3=02.2511007|C4=|C5=07-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=3.800.640,00|C23=1,00|C24=1,00|C25=3.800.640,00|C26=0,00
R10036|C2=|C3=01.2508026|C4=|C5=15-08-2025|C7=IDR|C9=1,00|C21=0,00|C22=432.900,00|C23=1,00|C24=1,00|C25=432.900,00|C26=0,00
R10037|C2=|C3=01.2510030|C4=|C5=10-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=1.048.950,00|C23=1,00|C24=1,00|C25=1.048.950,00|C26=0,00
R10038|C2=|C3=01.2510064|C4=|C5=28-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=432.900,00|C23=1,00|C24=1,00|C25=432.900,00|C26=0,00
R10039|C2=|C3=01.2511001|C4=|C5=03-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=1.585.080,00|C23=1,00|C24=1,00|C25=1.585.080,00|C26=0,00
R10040|C2=|C3=01.2511017|C4=|C5=10-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=10.633.800,00|C23=1,00|C24=1,00|C25=10.633.800,00|C26=0,00
R10041|C2=|C3=01.2511018|C4=|C5=10-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=1.909.200,00|C23=1,00|C24=1,00|C25=1.909.200,00|C26=0,00
R10042|C2=|C3=01.2511024|C4=|C5=13-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=688.200,00|C23=1,00|C24=1,00|C25=688.200,00|C26=0,00
R10043|C2=|C3=01.2511050|C4=|C5=25-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=2.267.730,00|C23=1,00|C24=1,00|C25=2.267.730,00|C26=0,00
R10044|C2=|C3=01.2511059|C4=|C5=27-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.913.525,00|C23=1,00|C24=1,00|C25=5.913.525,00|C26=0,00
R10045|C2=|C3=01.2511063|C4=|C5=28-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=11.894.760,00|C23=1,00|C24=1,00|C25=11.894.760,00|C26=0,00
R10046|C2=|C3=01.2512036|C4=|C5=23-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=2.541.900,00|C23=1,00|C24=1,00|C25=2.541.900,00|C26=0,00
R10047|C2=|C3=01.2512048|C4=|C5=30-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=3.734.040,00|C23=1,00|C24=1,00|C25=3.734.040,00|C26=0,00
R10048|C2=|C3=02.2507032|C4=|C5=21-07-2025|C7=IDR|C9=1,00|C21=0,00|C22=23.324.577,00|C23=1,00|C24=1,00|C25=23.324.577,00|C26=0,00
R10092|C2=|C3=03.2512021|C4=|C5=09-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=76.590.000,00|C23=1,00|C24=1,00|C25=76.590.000,00|C26=0,00
R10287|C2=|C3=03.1808025|C4=|C5=09-08-2018|C7=IDR|C9=1,00|C21=0,00|C22=81.675.000,00|C23=1,00|C24=1,00|C25=81.675.000,00|C26=0,00
R10288|C2=|C3=03.1808049|C4=|C5=21-08-2018|C7=IDR|C9=1,00|C21=0,00|C22=81.675.000,00|C23=1,00|C24=1,00|C25=81.675.000,00|C26=0,00
R10289|C2=|C3=03.1808052|C4=|C5=27-08-2018|C7=IDR|C9=1,00|C21=0,00|C22=81.675.000,00|C23=1,00|C24=1,00|C25=81.675.000,00|C26=0,00
R10476|C2=|C3=01.2511052|C4=|C5=24-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=44.400.000,00|C23=1,00|C24=1,00|C25=44.400.000,00|C26=0,00
R10477|C2=|C3=01.2511053|C4=|C5=26-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=10.081.797,00|C23=1,00|C24=1,00|C25=10.081.797,00|C26=0,00
R10478|C2=|C3=01.2512038|C4=|C5=29-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=10.081.797,00|C23=1,00|C24=1,00|C25=10.081.797,00|C26=0,00
R10841|C2=|C3=02.2510018|C4=|C5=13-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=444.000,00|C23=1,00|C24=1,00|C25=444.000,00|C26=0,00
R10842|C2=|C3=02.2510037|C4=|C5=29-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=3.818.400,00|C23=1,00|C24=1,00|C25=3.818.400,00|C26=0,00
R10843|C2=|C3=02.2510042|C4=|C5=31-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.706.288,00|C23=1,00|C24=1,00|C25=5.706.288,00|C26=0,00
R10844|C2=|C3=02.2510044|C4=|C5=31-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.994.000,00|C23=1,00|C24=1,00|C25=5.994.000,00|C26=0,00
R10845|C2=|C3=02.2511012|C4=|C5=10-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=892.440,00|C23=1,00|C24=1,00|C25=892.440,00|C26=0,00
R10846|C2=|C3=02.2511025|C4=|C5=24-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=3.818.400,00|C23=1,00|C24=1,00|C25=3.818.400,00|C26=0,00
R10847|C2=|C3=02.2512011|C4=|C5=08-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=44.270.352,00|C23=1,00|C24=1,00|C25=44.270.352,00|C26=0,00
R10848|C2=|C3=02.2512009|C4=|C5=08-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=7.069.646,00|C23=1,00|C24=1,00|C25=7.069.646,00|C26=0,00
R10849|C2=|C3=02.2512024|C4=|C5=16-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=11.412.576,00|C23=1,00|C24=1,00|C25=11.412.576,00|C26=0,00
R11114|C2=|C3=03.2511079|C4=|C5=24-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=59.884.500,00|C23=1,00|C24=1,00|C25=59.884.500,00|C26=0,00
R11249|C2=|C3=03.2511066|C4=|C5=21-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=94.355.300,00|C23=1,00|C24=1,00|C25=94.355.300,00|C26=0,00
R11989|C2=|C3=03.2511058|C4=|C5=19-11-2025|C7=USD|C9=#####|C21=22.977,00|C22=383.830.785,00|C23=16.705,00|C24=16.782,00|C25=385.600.014,00|C26=1.769.229,00
R12121|C2=|C3=03.2511082|C4=|C5=25-11-2025|C7=USD|C9=#####|C21=22.977,00|C22=383.830.785,00|C23=16.705,00|C24=16.782,00|C25=385.600.014,00|C26=1.769.229,00
R12122|C2=|C3=03.2512080|C4=|C5=29-12-2025|C7=USD|C9=#####|C21=22.977,00|C22=383.807.808,00|C23=16.704,00|C24=16.782,00|C25=385.600.014,00|C26=1.792.206,00
R12252|C2=|C3=03.2511004|C4=|C5=03-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=77.700.000,00|C23=1,00|C24=1,00|C25=77.700.000,00|C26=0,00
R12253|C2=|C3=03.2511051|C4=|C5=18-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=100.000.000,00|C23=1,00|C24=1,00|C25=100.000.000,00|C26=0,00
R12254|C2=|C3=03.2512016|C4=|C5=08-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=127.650.000,00|C23=1,00|C24=1,00|C25=127.650.000,00|C26=0,00
R12255|C2=|C3=03.2512060|C4=|C5=19-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=77.700.000,00|C23=1,00|C24=1,00|C25=77.700.000,00|C26=0,00
R12256|C2=|C3=03.2512055|C4=|C5=17-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=77.700.000,00|C23=1,00|C24=1,00|C25=77.700.000,00|C26=0,00
R12257|C2=|C3=03.2512075|C4=|C5=29-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=77.700.000,00|C23=1,00|C24=1,00|C25=77.700.000,00|C26=0,00
R12258|C2=|C3=03.2512076|C4=|C5=29-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=77.700.000,00|C23=1,00|C24=1,00|C25=77.700.000,00|C26=0,00
R13166|C2=|C3=03.2510020|C4=|C5=09-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=9.229.000,00|C23=1,00|C24=1,00|C25=9.229.000,00|C26=0,00
R13167|C2=|C3=03.2510025|C4=|C5=15-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=76.590.000,00|C23=1,00|C24=1,00|C25=76.590.000,00|C26=0,00
R13168|C2=|C3=03.2511097|C4=|C5=27-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=63.270.000,00|C23=1,00|C24=1,00|C25=63.270.000,00|C26=0,00
R13216|C2=|C3=03.2510051|C4=|C5=31-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=82.000.000,00|C23=1,00|C24=1,00|C25=82.000.000,00|C26=0,00
R13217|C2=|C3=03.2511003|C4=|C5=03-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=63.000.000,00|C23=1,00|C24=1,00|C25=63.000.000,00|C26=0,00
R13218|C2=|C3=03.2511020|C4=|C5=10-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=77.700.000,00|C23=1,00|C24=1,00|C25=77.700.000,00|C26=0,00
R13219|C2=|C3=03.2511021|C4=|C5=10-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=77.700.000,00|C23=1,00|C24=1,00|C25=77.700.000,00|C26=0,00
R13227|C2=|C3=03.2511087|C4=|C5=26-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=147.000.000,00|C23=1,00|C24=1,00|C25=147.000.000,00|C26=0,00
R13402|C2=|C3=03.2512046|C4=|C5=15-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=97.680.000,00|C23=1,00|C24=1,00|C25=97.680.000,00|C26=0,00
R14565|C2=|C3=01.2502016|C4=|C5=12-02-2025|C7=IDR|C9=1,00|C21=0,00|C22=3.355.530,00|C23=1,00|C24=1,00|C25=3.355.530,00|C26=0,00
R14618|C2=|C3=01.2511032|C4=|C5=17-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=4.091.460,00|C23=1,00|C24=1,00|C25=4.091.460,00|C26=0,00
R14976|C2=|C3=02.2511022|C4=|C5=21-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=35.282.183,00|C23=1,00|C24=1,00|C25=35.282.183,00|C26=0,00
R14977|C2=|C3=02.2512019|C4=|C5=15-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=2.664.000,00|C23=1,00|C24=1,00|C25=2.664.000,00|C26=0,00
R15167|C2=|C3=01.2512022|C4=|C5=15-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=10.682.085,00|C23=1,00|C24=1,00|C25=10.682.085,00|C26=0,00
R15168|C2=|C3=01.2512032|C4=|C5=19-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=1.653.900,00|C23=1,00|C24=1,00|C25=1.653.900,00|C26=0,00
R15169|C2=|C3=01.2512049|C4=|C5=31-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=6.696.075,00|C23=1,00|C24=1,00|C25=6.696.075,00|C26=0,00
R15465|C2=|C3=01.2511048|C4=|C5=25-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=3.027.525,00|C23=1,00|C24=1,00|C25=3.027.525,00|C26=0,00
R15466|C2=|C3=01.2512004|C4=|C5=03-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=10.123.200,00|C23=1,00|C24=1,00|C25=10.123.200,00|C26=0,00
R15467|C2=|C3=01.2512012|C4=|C5=09-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=2.519.700,00|C23=1,00|C24=1,00|C25=2.519.700,00|C26=0,00
R15468|C2=|C3=01.2512040|C4=|C5=29-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=863.025,00|C23=1,00|C24=1,00|C25=863.025,00|C26=0,00
R15469|C2=|C3=01.2512042|C4=|C5=29-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=2.031.300,00|C23=1,00|C24=1,00|C25=2.031.300,00|C26=0,00
R16255|C2=|C3=01.2512001|C4=|C5=01-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=6.345.315,00|C23=1,00|C24=1,00|C25=6.345.315,00|C26=0,00
R16256|C2=|C3=01.2512039|C4=|C5=29-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=25.189.785,00|C23=1,00|C24=1,00|C25=25.189.785,00|C26=0,00
R16257|C2=|C3=01.2512051|C4=|C5=31-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=9.690.855,00|C23=1,00|C24=1,00|C25=9.690.855,00|C26=0,00
R16682|C2=|C3=03.2511002|C4=|C5=03-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=63.270.000,00|C23=1,00|C24=1,00|C25=63.270.000,00|C26=0,00
R16683|C2=|C3=03.2511001|C4=|C5=03-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=63.270.000,00|C23=1,00|C24=1,00|C25=63.270.000,00|C26=0,00
R16688|C2=|C3=03.2511096|C4=|C5=27-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=380.619.000,00|C23=1,00|C24=1,00|C25=380.619.000,00|C26=0,00
R16689|C2=|C3=03.2511098|C4=|C5=28-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=380.619.000,00|C23=1,00|C24=1,00|C25=380.619.000,00|C26=0,00
R16690|C2=|C3=03.2512008|C4=|C5=03-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=380.619.000,00|C23=1,00|C24=1,00|C25=380.619.000,00|C26=0,00
R16691|C2=|C3=03.2512013|C4=|C5=05-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=380.619.000,00|C23=1,00|C24=1,00|C25=380.619.000,00|C26=0,00
R16692|C2=|C3=03.2512043|C4=|C5=12-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=76.590.000,00|C23=1,00|C24=1,00|C25=76.590.000,00|C26=0,00
R16693|C2=|C3=03.2512059|C4=|C5=18-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=76.590.000,00|C23=1,00|C24=1,00|C25=76.590.000,00|C26=0,00
R16791|C2=|C3=03.2010007|C4=|C5=12-10-2020|C7=USD|C9=#####|C21=10.026,39|C22=162.046.515,18|C23=16.162,00|C24=16.782,00|C25=168.262.876,98|C26=6.216.361,80
R17075|C2=|C3=01.2510023|C4=|C5=09-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.217.000,00|C23=1,00|C24=1,00|C25=5.217.000,00|C26=0,00
R17076|C2=|C3=01.2510024|C4=|C5=09-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.217.000,00|C23=1,00|C24=1,00|C25=5.217.000,00|C26=0,00
R17077|C2=|C3=01.2510025|C4=|C5=09-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.217.000,00|C23=1,00|C24=1,00|C25=5.217.000,00|C26=0,00
R17078|C2=|C3=01.2510026|C4=|C5=09-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.217.000,00|C23=1,00|C24=1,00|C25=5.217.000,00|C26=0,00
R17079|C2=|C3=01.2510027|C4=|C5=09-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.217.000,00|C23=1,00|C24=1,00|C25=5.217.000,00|C26=0,00
R17080|C2=|C3=01.2510028|C4=|C5=09-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.217.000,00|C23=1,00|C24=1,00|C25=5.217.000,00|C26=0,00
R17081|C2=|C3=01.2510045|C4=|C5=21-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.217.000,00|C23=1,00|C24=1,00|C25=5.217.000,00|C26=0,00
R17082|C2=|C3=01.2510046|C4=|C5=21-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.217.000,00|C23=1,00|C24=1,00|C25=5.217.000,00|C26=0,00
R17083|C2=|C3=01.2510047|C4=|C5=21-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.217.000,00|C23=1,00|C24=1,00|C25=5.217.000,00|C26=0,00
R17084|C2=|C3=01.2510048|C4=|C5=21-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.217.000,00|C23=1,00|C24=1,00|C25=5.217.000,00|C26=0,00
R17085|C2=|C3=01.2512010|C4=|C5=09-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.217.000,00|C23=1,00|C24=1,00|C25=5.217.000,00|C26=0,00
R17086|C2=|C3=01.2512011|C4=|C5=09-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.217.000,00|C23=1,00|C24=1,00|C25=5.217.000,00|C26=0,00
R17087|C2=|C3=01.2512013|C4=|C5=10-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.217.000,00|C23=1,00|C24=1,00|C25=5.217.000,00|C26=0,00
R17173|C2=|C3=06.2308002|C4=|C5=15-08-2023|C7=IDR|C9=1,00|C21=0,00|C22=83.250.000,00|C23=1,00|C24=1,00|C25=83.250.000,00|C26=0,00
R17174|C2=|C3=06.2312001|C4=|C5=20-12-2023|C7=IDR|C9=1,00|C21=0,00|C22=15.540.000,00|C23=1,00|C24=1,00|C25=15.540.000,00|C26=0,00
R17175|C2=|C3=06.2312002|C4=|C5=20-12-2023|C7=IDR|C9=1,00|C21=0,00|C22=15.540.000,00|C23=1,00|C24=1,00|C25=15.540.000,00|C26=0,00
R17180|C2=|C3=06.2312007|C4=|C5=20-12-2023|C7=IDR|C9=1,00|C21=0,00|C22=158.841.000,00|C23=1,00|C24=1,00|C25=158.841.000,00|C26=0,00
R17262|C2=|C3=02.2512035|C4=|C5=23-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=2.576.310,00|C23=1,00|C24=1,00|C25=2.576.310,00|C26=0,00
R17276|C2=|C3=03.2511106|C4=|C5=28-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=347.985.000,00|C23=1,00|C24=1,00|C25=347.985.000,00|C26=0,00
R17277|C2=|C3=03.2512044|C4=|C5=12-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=347.985.000,00|C23=1,00|C24=1,00|C25=347.985.000,00|C26=0,00
R17401|C2=|C3=03.2511041|C4=|C5=17-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=49.950.000,00|C23=1,00|C24=1,00|C25=49.950.000,00|C26=0,00
R17718|C2=|C3=02.2512001|C4=|C5=01-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=559.440,00|C23=1,00|C24=1,00|C25=559.440,00|C26=0,00
R18256|C2=|C3=01.2512037|C4=|C5=26-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=19.276.704,00|C23=1,00|C24=1,00|C25=19.276.704,00|C26=0,00
R18257|C2=|C3=01.2512041|C4=|C5=29-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=164.419,00|C23=1,00|C24=1,00|C25=164.419,00|C26=0,00
R18904|C2=|C3=02.2512005|C4=|C5=03-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=16.389.816,00|C23=1,00|C24=1,00|C25=16.389.816,00|C26=0,00
R18905|C2=|C3=02.2512014|C4=|C5=10-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=471.306,00|C23=1,00|C24=1,00|C25=471.306,00|C26=0,00
R18906|C2=|C3=02.2512016|C4=|C5=12-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=6.159.168,00|C23=1,00|C24=1,00|C25=6.159.168,00|C26=0,00
R18907|C2=|C3=02.2512017|C4=|C5=12-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.516.256,00|C23=1,00|C24=1,00|C25=5.516.256,00|C26=0,00
R18908|C2=|C3=02.2512021|C4=|C5=15-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=12.454.200,00|C23=1,00|C24=1,00|C25=12.454.200,00|C26=0,00
R18909|C2=|C3=02.2512026|C4=|C5=17-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=5.994.000,00|C23=1,00|C24=1,00|C25=5.994.000,00|C26=0,00
R18910|C2=|C3=02.2512028|C4=|C5=18-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=9.409.248,00|C23=1,00|C24=1,00|C25=9.409.248,00|C26=0,00
R18911|C2=|C3=02.2512029|C4=|C5=19-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=2.465.976,00|C23=1,00|C24=1,00|C25=2.465.976,00|C26=0,00
R18912|C2=|C3=02.2512030|C4=|C5=19-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=8.809.848,00|C23=1,00|C24=1,00|C25=8.809.848,00|C26=0,00
R18913|C2=|C3=02.2512031|C4=|C5=19-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=471.306,00|C23=1,00|C24=1,00|C25=471.306,00|C26=0,00
R18914|C2=|C3=02.2512033|C4=|C5=22-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=9.899.424,00|C23=1,00|C24=1,00|C25=9.899.424,00|C26=0,00
R18915|C2=|C3=02.2512037|C4=|C5=23-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=1.039.959,00|C23=1,00|C24=1,00|C25=1.039.959,00|C26=0,00
R18916|C2=|C3=02.2512040|C4=|C5=29-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=4.409.808,00|C23=1,00|C24=1,00|C25=4.409.808,00|C26=0,00
R18917|C2=|C3=02.2512043|C4=|C5=31-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=11.296.248,00|C23=1,00|C24=1,00|C25=11.296.248,00|C26=0,00
R19201|C2=|C3=02.2512007|C4=|C5=05-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=4.008.432,00|C23=1,00|C24=1,00|C25=4.008.432,00|C26=0,00
R19202|C2=|C3=02.2512018|C4=|C5=12-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=3.294.480,00|C23=1,00|C24=1,00|C25=3.294.480,00|C26=0,00
R19203|C2=|C3=02.2512020|C4=|C5=15-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=2.794.536,00|C23=1,00|C24=1,00|C25=2.794.536,00|C26=0,00
R19204|C2=|C3=02.2512023|C4=|C5=10-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=3.251.745,00|C23=1,00|C24=1,00|C25=3.251.745,00|C26=0,00
R19205|C2=|C3=02.2512025|C4=|C5=16-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=3.294.480,00|C23=1,00|C24=1,00|C25=3.294.480,00|C26=0,00
R19206|C2=|C3=02.2512041|C4=|C5=29-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=1.500.720,00|C23=1,00|C24=1,00|C25=1.500.720,00|C26=0,00
R19269|C2=|C3=02.2311042|C4=|C5=30-11-2023|C7=IDR|C9=1,00|C21=0,00|C22=3.278.052,00|C23=1,00|C24=1,00|C25=3.278.052,00|C26=0,00
R19272|C2=|C3=02.2406020|C4=|C5=14-06-2024|C7=IDR|C9=1,00|C21=0,00|C22=8.265.504,00|C23=1,00|C24=1,00|C25=8.265.504,00|C26=0,00
R19273|C2=|C3=02.2407013|C4=|C5=12-07-2024|C7=IDR|C9=1,00|C21=0,00|C22=7.492.500,00|C23=1,00|C24=1,00|C25=7.492.500,00|C26=0,00
R19274|C2=|C3=02.2409019|C4=|C5=18-09-2024|C7=IDR|C9=1,00|C21=0,00|C22=879.120,00|C23=1,00|C24=1,00|C25=879.120,00|C26=0,00
R19275|C2=|C3=02.2410029|C4=|C5=17-10-2024|C7=IDR|C9=1,00|C21=0,00|C22=8.191.800,00|C23=1,00|C24=1,00|C25=8.191.800,00|C26=0,00
R19276|C2=|C3=02.2410044|C4=|C5=31-10-2024|C7=IDR|C9=1,00|C21=0,00|C22=2.572.425,00|C23=1,00|C24=1,00|C25=2.572.425,00|C26=0,00
R19277|C2=|C3=02.2412014|C4=|C5=12-12-2024|C7=IDR|C9=1,00|C21=0,00|C22=4.815.180,00|C23=1,00|C24=1,00|C25=4.815.180,00|C26=0,00
R19278|C2=|C3=02.2501007|C4=|C5=09-01-2025|C7=IDR|C9=1,00|C21=0,00|C22=1.323.675,00|C23=1,00|C24=1,00|C25=1.323.675,00|C26=0,00
R19279|C2=|C3=02.2503026|C4=|C5=19-03-2025|C7=IDR|C9=1,00|C21=0,00|C22=1.309.800,00|C23=1,00|C24=1,00|C25=1.309.800,00|C26=0,00
R19280|C2=|C3=02.2504041|C4=|C5=30-04-2025|C7=IDR|C9=1,00|C21=0,00|C22=6.594.288,00|C23=1,00|C24=1,00|C25=6.594.288,00|C26=0,00
R19281|C2=|C3=02.2505002|C4=|C5=02-05-2025|C7=IDR|C9=1,00|C21=0,00|C22=799.200,00|C23=1,00|C24=1,00|C25=799.200,00|C26=0,00
R19282|C2=|C3=02.2506022|C4=|C5=18-06-2025|C7=IDR|C9=1,00|C21=0,00|C22=7.919.184,00|C23=1,00|C24=1,00|C25=7.919.184,00|C26=0,00
R19283|C2=|C3=02.2507025|C4=|C5=15-07-2025|C7=IDR|C9=1,00|C21=0,00|C22=3.996.000,00|C23=1,00|C24=1,00|C25=3.996.000,00|C26=0,00
R19284|C2=|C3=02.2510005|C4=|C5=06-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=3.269.616,00|C23=1,00|C24=1,00|C25=3.269.616,00|C26=0,00
R19285|C2=|C3=02.2510041|C4=|C5=30-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=1.795.536,00|C23=1,00|C24=1,00|C25=1.795.536,00|C26=0,00
R19286|C2=|C3=02.2511014|C4=|C5=11-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=829.392,00|C23=1,00|C24=1,00|C25=829.392,00|C26=0,00
