=== GL 226-001: Entry BUKAN BTB invoice/pembayaran (TGL < 2026-01-01) ===
VOUCHER|TGL|KET|ORDER_REFF|K|D|NET
VP202001010018|12/31/2020 00:00:00|[ID.1909001] Adj. Kurs dari : 13.901,00 Ke : 14.105,00||2384352.000000|0.000000|2384352.000000
VP202001010026|12/31/2020 00:00:00|[5513171] Adj. Kurs dari : 14.160,00 Ke : 14.105,00||0.000000|432638.250000|-432638.250000
VP202001010014|12/31/2020 00:00:00|[SOL-0216002] Adj. Kurs dari : 13.901,00 Ke : 14.105,00||14994000.000000|0.000000|14994000.000000
VP202001010017|12/31/2020 00:00:00|[ID1906001] Adj. Kurs dari : 13.901,00 Ke : 14.105,00||1925760.000000|0.000000|1925760.000000
VP202001010001|12/31/2020 00:00:00|[Y17122701] Adj. Kurs dari : 1,991.00 Ke : 2,161.00||202855.900000|0.000000|202855.900000
VP202001010020|12/31/2020 00:00:00|[30010814,816] Adj. Kurs dari : 14.704,00 Ke : 14.105,00||0.000000|1919058.230000|-1919058.230000
VP202001010022|12/31/2020 00:00:00|[10004154] Adj. Kurs dari : 14.128,00 Ke : 14.105,00||0.000000|51899.960000|-51899.960000
VP202001010013|12/31/2020 00:00:00|[SOL-0216001] Adj. Kurs dari : 13.901,00 Ke : 14.105,00||8486400.000000|0.000000|8486400.000000
VP202001010024|12/31/2020 00:00:00|[KXH20201102] Adj. Kurs dari : 14.139,00 Ke : 14.105,00||0.000000|64702.000000|-64702.000000
VP202001010002|12/31/2020 00:00:00|[06VI112018] Adj. Kurs dari : 1,991.00 Ke : 2,161.00||612000.000000|0.000000|612000.000000
VP202001010019|12/31/2020 00:00:00|[KXH20201026] Adj. Kurs dari : 14.420,00 Ke : 14.105,00||0.000000|815850.000000|-815850.000000
VP202001010025|12/31/2020 00:00:00|[30010906] Adj. Kurs dari : 14.160,00 Ke : 14.105,00||0.000000|5049000.000000|-5049000.000000
VP201901010018|12/31/2019 00:00:00|[ID1906001] Adj. Kurs dari : 14,141.00 Ke : 13,901.00||0.000000|2265600.000000|-2265600.000000
VP201901010021|12/31/2019 00:00:00|[5419784] Adj. Kurs dari : 14,086.00 Ke : 13,901.00||0.000000|1734012.400000|-1734012.400000
VP201901010035|12/31/2019 00:00:00|[5421169,5421179] Adj. Kurs dari : 14,094.00 Ke : 13,901.00||0.000000|1320368.970000|-1320368.970000
VP201901010001|12/31/2019 00:00:00|[Y17122701] Adj. Kurs dari : 2.073,00 Ke : 1.991,00||0.000000|97848.140000|-97848.140000
VP201901010002|12/31/2019 00:00:00|[06VI112018] Adj. Kurs dari : 2.100,80 Ke : 1.991,00||0.000000|395280.000000|-395280.000000
VP201901010020|12/31/2019 00:00:00|[5417297,5417300] Adj. Kurs dari : 14,070.00 Ke : 13,901.00||0.000000|526124.040000|-526124.040000
VP201901010014|12/31/2019 00:00:00|[SOL-0216001] Adj. Kurs dari : 14,481.00 Ke : 13,901.00||0.000000|24128000.000000|-24128000.000000
VP201901010015|12/31/2019 00:00:00|[SOL-0216002] Adj. Kurs dari : 14,481.00 Ke : 13,901.00||0.000000|42630000.000000|-42630000.000000
VP201901010019|12/31/2019 00:00:00|[ID.1909001] Adj. Kurs dari : 14,154.00 Ke : 13,901.00||0.000000|2957064.000000|-2957064.000000
200410119080302|08/26/2019 00:00:00|GO.700-190919,INV. ID1906001,TAM.7.04.19 - (LPS/16 Hutang Dagang |10119070500006|0.000000|41226300.000000|-41226300.000000
VP201801010076|12/31/2018 00:00:00|[161/FK-MAN/XII/] Adj. Kurs dari : 14,558.00 Ke : 14,481.00||0.000000|331100.000000|-331100.000000
VP201801010027|12/31/2018 00:00:00|[SOL-0216002] Adj. Kurs dari : 13,255.00 Ke : 14,481.00||90111000.000000|0.000000|90111000.000000
VP201801010069|12/31/2018 00:00:00|[30009546,9533,] Adj. Kurs dari : 14,447.00 Ke : 14,481.00||2725440.000000|0.000000|2725440.000000
VP201801010059|12/31/2018 00:00:00|[30009525] Adj. Kurs dari : 14,688.00 Ke : 14,481.00||0.000000|8569800.000000|-8569800.000000
VP201801010057|12/31/2018 00:00:00|[20181031050659-] Adj. Kurs dari : 15,026.00 Ke : 14,481.00||0.000000|39512.500000|-39512.500000
VP201801010070|12/31/2018 00:00:00|[5328377] Adj. Kurs dari : 14,447.00 Ke : 14,481.00||1855.720000|0.000000|1855.720000
VP201801010001|12/31/2018 00:00:00|[Y17122701] Adj. Kurs dari : 2,076.83 Ke : 2,073.00||0.000000|4570.220000|-4570.220000
VP201801010026|12/31/2018 00:00:00|[SOL-0216001] Adj. Kurs dari : 13,400.00 Ke : 14,481.00||44969600.000000|0.000000|44969600.000000
VP201801010061|12/31/2018 00:00:00|[5321560] Adj. Kurs dari : 14,688.00 Ke : 14,481.00||0.000000|1191703.140000|-1191703.140000
VP201801010056|12/31/2018 00:00:00|[IV29157] Adj. Kurs dari : 15,215.00 Ke : 14,481.00||0.000000|1309456.000000|-1309456.000000
VP201801010058|12/31/2018 00:00:00|[30009524] Adj. Kurs dari : 14,688.00 Ke : 14,481.00||0.000000|8569800.000000|-8569800.000000
VP201801010051|12/31/2018 00:00:00|[255/11/2017] Adj. Kurs dari : 13,705.00 Ke : 14,481.00||1668400.000000|0.000000|1668400.000000
VP201801010031|12/31/2018 00:00:00|[TOYO-2017041001] Adj. Kurs dari : 13,274.00 Ke : 14,481.00||30175.000000|0.000000|30175.000000
VP201801010060|12/31/2018 00:00:00|[5321572] Adj. Kurs dari : 14,688.00 Ke : 14,481.00||0.000000|56359.890000|-56359.890000
101PK170300001|03/21/2017 00:00:00|(AP-CN/DN)  DN1703001|101PK170300001|0.000000|793227.600000|-793227.600000
1011701MEMO0019|01/01/2017 00:00:00|Hutang Dagang  - AJP Saldo Awal AP||444962850.000000|0.000000|444962850.000000
1011701MEMO0021|01/01/2017 00:00:00|Hutang Dagang - AJP Saldo Awal Eks. Klaim Garansi||0.000000|20620000.000000|-20620000.000000
1011701MEMO0049|01/01/2017 00:00:00|Hutang Dagang - AJP Saldo Awal 2017||0.000000|8470000.000000|-8470000.000000
1011701MEMO0022|01/01/2017 00:00:00|Hutang Dagang  - AJP Saldo Awal B.YMH S.Parts Perlengkapan||0.000000|450000.000000|-450000.000000
1011701MEMO0045|01/01/2017 00:00:00|Hutang Dagang  - AJP Saldo Awal 2017||0.000000|5860250.000000|-5860250.000000
1011701MEMO0018|01/01/2017 00:00:00|Hutang Dagang - AJP Saldo Awal  AP||0.000000|2298636991.000000|-2298636991.000000
1011701MEMO0047|01/01/2017 00:00:00|Hutang Dagang  - AJP Saldo Awal 2017||10921000.000000|0.000000|10921000.000000
101PK161200031|12/31/2016 00:00:00|(AP-CN/DN)  DN1612031|101PK161200031|0.000000|11999999.000000|-11999999.000000
101PK161200025|12/31/2016 00:00:00|(AP-CN/DN)  DN1612025|101PK161200025|0.000000|1850000.000000|-1850000.000000
101PK161200039|12/31/2016 00:00:00|(AP-CN/DN)  DN1612039|101PK161200039|0.000000|15980002.400000|-15980002.400000
101PK161200033|12/31/2016 00:00:00|(AP-CN/DN)  DN1612033|101PK161200033|0.000000|182500.080000|-182500.080000
101PK161200036|12/31/2016 00:00:00|(AP-CN/DN)  DN1612036|101PK161200036|0.000000|6825000.000000|-6825000.000000
101PK161200020|12/31/2016 00:00:00|(AP-CN/DN)  DN1612020|101PK161200020|0.000000|2500000.000000|-2500000.000000
101PK161200030|12/31/2016 00:00:00|(AP-CN/DN)  DN1612030|101PK161200030|0.000000|1950000.000000|-1950000.000000
101PK161200021|12/31/2016 00:00:00|(AP-CN/DN)  DN1612021|101PK161200021|0.000000|2995000.000000|-2995000.000000
101PK161200035|12/31/2016 00:00:00|(AP-CN/DN)  DN1612035|101PK161200035|0.000000|5650020.000000|-5650020.000000
101PK161200022|12/31/2016 00:00:00|(AP-CN/DN)  DN1612022|101PK161200022|0.000000|3095000.000000|-3095000.000000
101PK161200015|12/31/2016 00:00:00|(AP-CN/DN)  DN1612015|101PK161200015|0.000000|19000000.000000|-19000000.000000
101PK161200011|12/31/2016 00:00:00|(AP-CN/DN)  DN1612011|101PK161200011|0.000000|7780380.000000|-7780380.000000
101PK161200047|12/31/2016 00:00:00|(AP-CN/DN)  DN1612047|101PK161200047|0.000000|14750000.000000|-14750000.000000
101PK161200019|12/31/2016 00:00:00|(AP-CN/DN)  DN1612019|101PK161200019|0.000000|6735000.000000|-6735000.000000
101PK161200009|12/31/2016 00:00:00|(AP-CN/DN)  DN1612009|101PK161200009|0.000000|1159600000.000000|-1159600000.000000
101PK161200043|12/31/2016 00:00:00|(AP-CN/DN)  DN1612043|101PK161200043|0.000000|27520000.080000|-27520000.080000
101PK161200005|12/31/2016 00:00:00|(AP-CN/DN)  DN1612005|101PK161200005|0.000000|26175055.000000|-26175055.000000
101PK161200001|12/31/2016 00:00:00|(AP-CN/DN)  DN1612001|101PK161200001|0.000000|40406835.000000|-40406835.000000
101PK161200008|12/31/2016 00:00:00|(AP-CN/DN)  DN1612008|101PK161200008|0.000000|357780000.000000|-357780000.000000
101PK161200042|12/31/2016 00:00:00|(AP-CN/DN)  DN1612042|101PK161200042|0.000000|20380000.420000|-20380000.420000
101PK161200004|12/31/2016 00:00:00|(AP-CN/DN)  DN1612004|101PK161200004|0.000000|26175055.000000|-26175055.000000
101PK161200026|12/31/2016 00:00:00|(AP-CN/DN)  DN1612026|101PK161200026|0.000000|1225000.000000|-1225000.000000
101PK161200032|12/31/2016 00:00:00|(AP-CN/DN)  DN1612032|101PK161200032|0.000000|23999998.000000|-23999998.000000
101PK161200012|12/31/2016 00:00:00|(AP-CN/DN)  DN1612012|101PK161200012|0.000000|2714590.000000|-2714590.000000
101PK161200016|12/31/2016 00:00:00|(AP-CN/DN)  DN1612016|101PK161200016|0.000000|9500000.000000|-9500000.000000
101PK161200010|12/31/2016 00:00:00|(AP-CN/DN)  DN1612010|101PK161200010|0.000000|133000000.000000|-133000000.000000
101PK161200046|12/31/2016 00:00:00|(AP-CN/DN)  DN1612046|101PK161200046|0.000000|107000.000000|-107000.000000
101PK161200029|12/31/2016 00:00:00|(AP-CN/DN)  DN1612029|101PK161200029|0.000000|1110000.000000|-1110000.000000
101PK161200037|12/31/2016 00:00:00|(AP-CN/DN)  DN1612037|101PK161200037|0.000000|2770000.000000|-2770000.000000
101PK161200028|12/31/2016 00:00:00|(AP-CN/DN)  DN1612028|101PK161200028|0.000000|1225000.000000|-1225000.000000
101PK161200024|12/31/2016 00:00:00|(AP-CN/DN)  DN1612024|101PK161200024|0.000000|1900000.200000|-1900000.200000
101PK161200038|12/31/2016 00:00:00|(AP-CN/DN)  DN1612038|101PK161200038|0.000000|39200000.000000|-39200000.000000
101PK161200034|12/31/2016 00:00:00|(AP-CN/DN)  DN1612034|101PK161200034|0.000000|350000.000000|-350000.000000
101PK161200045|12/31/2016 00:00:00|(AP-CN/DN)  DN1612045|101PK161200045|0.000000|278000.000000|-278000.000000
101PK161200048|12/31/2016 00:00:00|(AP-CN/DN)  DN1612048|101PK161200048|0.000000|4600000.000000|-4600000.000000
101PK161200014|12/31/2016 00:00:00|(AP-CN/DN)  DN1612014|101PK161200014|0.000000|1075000.000000|-1075000.000000
101PK161200044|12/31/2016 00:00:00|(AP-CN/DN)  DN1612044|101PK161200044|0.000000|215000.000000|-215000.000000
101PK161200006|12/31/2016 00:00:00|(AP-CN/DN)  DN1612006|101PK161200006|0.000000|1093000.800000|-1093000.800000
101PK161200002|12/31/2016 00:00:00|(AP-CN/DN)  DN1612002|101PK161200002|0.000000|40406835.000000|-40406835.000000
101PK161200018|12/31/2016 00:00:00|(AP-CN/DN)  DN1612018|101PK161200018|0.000000|3650000.200000|-3650000.200000
101PK161200040|12/31/2016 00:00:00|(AP-CN/DN)  DN1612040|101PK161200040|0.000000|60800000.000000|-60800000.000000
101PK161200017|12/31/2016 00:00:00|(AP-CN/DN)  DN1612017|101PK161200017|0.000000|300000.000000|-300000.000000
101PK161200003|12/31/2016 00:00:00|(AP-CN/DN)  DN1612003|101PK161200003|0.000000|26175055.000000|-26175055.000000
101PK161200013|12/31/2016 00:00:00|(AP-CN/DN)  DN1612013|101PK161200013|0.000000|778000.000000|-778000.000000
101PK161200027|12/31/2016 00:00:00|(AP-CN/DN)  DN1612027|101PK161200027|0.000000|1225000.000000|-1225000.000000
101PK161200041|12/31/2016 00:00:00|(AP-CN/DN)  DN1612041|101PK161200041|0.000000|53200000.000000|-53200000.000000
101PK161200023|12/31/2016 00:00:00|(AP-CN/DN)  DN1612023|101PK161200023|0.000000|13200000.000000|-13200000.000000
101PK161200007|12/31/2016 00:00:00|(AP-CN/DN)  DN1612007|101PK161200007|0.000000|267300000.000000|-267300000.000000
101PD160100002|01/01/2016 00:00:00|101PD160100002|101PD160100002|4701.600000|0.000000|4701.600000
101PD160100011|01/01/2016 00:00:00|101PD160100011|101PD160100011|900000.000000|0.000000|900000.000000
101PD160100003|01/01/2016 00:00:00|101PD160100003|101PD160100003|4800.000000|0.000000|4800.000000
101PD160100007|01/01/2016 00:00:00|101PD160100007|101PD160100007|10800000.000000|0.000000|10800000.000000
101PD160100010|01/01/2016 00:00:00|101PD160100010|101PD160100010|300000.000000|0.000000|300000.000000
101PD160100005|01/01/2016 00:00:00|101PD160100005|101PD160100005|7146.000000|0.000000|7146.000000
101PD160100001|01/01/2016 00:00:00|101PD160100001|101PD160100001|925820.000000|0.000000|925820.000000
