=== GL 226-001: Entry BUKAN BTB invoice/pembayaran (TGL < 2026-01-01) ===
VOUCHER|TGL|KET|ORDER_REFF|K|D|NET
101PD131200035|12/31/2013 00:00:00|101PD131200035|101PD131200035|2202960.000000|0.000000|2202960.000000
101PD131200031|12/31/2013 00:00:00|101PD131200031|101PD131200031|11820000.000000|0.000000|11820000.000000
101PD131200026|12/31/2013 00:00:00|101PD131200026|101PD131200026|19800000.000000|0.000000|19800000.000000
1011312NK0006|12/31/2013 00:00:00|1011312NK0006|1011312NK0006|509700.000000|0.000000|509700.000000
1011312NK0012|12/31/2013 00:00:00|1011312NK0012|1011312NK0012|119100000.000000|0.000000|119100000.000000
101PD131200030|12/31/2013 00:00:00|101PD131200030|101PD131200030|3138000.000000|0.000000|3138000.000000
101PD131200022|12/31/2013 00:00:00|101PD131200022|101PD131200022|95000000.000000|0.000000|95000000.000000
101PD131200017|12/31/2013 00:00:00|101PD131200017|101PD131200017|1970000.000000|0.000000|1970000.000000
1011312NK0016|12/31/2013 00:00:00|1011312NK0016|1011312NK0016|67356000.000000|0.000000|67356000.000000
101PD131200048|12/31/2013 00:00:00|101PD131200048|101PD131200048|13663755.000000|0.000000|13663755.000000
101PD131200013|12/31/2013 00:00:00|101PD131200013|101PD131200013|67356000.000000|0.000000|67356000.000000
1011312NK0034|12/31/2013 00:00:00|1011312NK0034|1011312NK0034|9819488.000000|0.000000|9819488.000000
1011312NK0038|12/31/2013 00:00:00|1011312NK0038|1011312NK0038|4550000.000000|0.000000|4550000.000000
101PD131200002|12/31/2013 00:00:00|101PD131200002|101PD131200002|17889003.000000|0.000000|17889003.000000
1011312NK0053|12/31/2013 00:00:00|1011312NK0053|1011312NK0053|644700.000000|0.000000|644700.000000
1011312NK0058|12/31/2013 00:00:00|1011312NK0058|1011312NK0058|21000000.000000|0.000000|21000000.000000
101PD131200007|12/31/2013 00:00:00|101PD131200007|101PD131200007|407356902.000000|0.000000|407356902.000000
1011312NK0054|12/31/2013 00:00:00|1011312NK0054|1011312NK0054|2908500.000000|0.000000|2908500.000000
101PD131200006|12/31/2013 00:00:00|101PD131200006|101PD131200006|9819487.500000|0.000000|9819487.500000
101PD131200003|12/31/2013 00:00:00|101PD131200003|101PD131200003|650500000.000000|0.000000|650500000.000000
1011312NK0057|12/31/2013 00:00:00|1011312NK0057|1011312NK0057|21000000.000000|0.000000|21000000.000000
1011312NK0039|12/31/2013 00:00:00|1011312NK0039|1011312NK0039|567800.000000|0.000000|567800.000000
1011312NK0035|12/31/2013 00:00:00|1011312NK0035|1011312NK0035|407356902.000000|0.000000|407356902.000000
101PK131200007|12/31/2013 00:00:00|101PK131200007|101PK131200007|0.000000|3573.000000|-3573.000000
101PD131200053|12/31/2013 00:00:00|101PD131200053|101PD131200053|2908500.000000|0.000000|2908500.000000
1011312NK0013|12/31/2013 00:00:00|1011312NK0013|1011312NK0013|462910.000000|0.000000|462910.000000
101PD131200057|12/31/2013 00:00:00|101PD131200057|101PD131200057|21000000.000000|0.000000|21000000.000000
1011312NK0031|12/31/2013 00:00:00|1011312NK0031|1011312NK0031|95000000.000000|0.000000|95000000.000000
101PD131200060|12/31/2013 00:00:00|101PD131200060|101PD131200060|5400000.000000|0.000000|5400000.000000
101PD131200052|12/31/2013 00:00:00|101PD131200052|101PD131200052|644700.000000|0.000000|644700.000000
101PD131200043|12/31/2013 00:00:00|101PD131200043|101PD131200043|740000.000000|0.000000|740000.000000
1011312NK0047|12/31/2013 00:00:00|1011312NK0047|1011312NK0047|5400000.000000|0.000000|5400000.000000
1011312NK0029|12/31/2013 00:00:00|1011312NK0029|1011312NK0029|13455000.000000|0.000000|13455000.000000
101PD131200034|12/31/2013 00:00:00|101PD131200034|101PD131200034|15744000.000000|0.000000|15744000.000000
101PD131200029|12/31/2013 00:00:00|101PD131200029|101PD131200029|39450000.000000|0.000000|39450000.000000
101PD131200025|12/31/2013 00:00:00|101PD131200025|101PD131200025|3930000.000000|0.000000|3930000.000000
1011312NK0043|12/31/2013 00:00:00|1011312NK0043|1011312NK0043|10989600.000000|0.000000|10989600.000000
1011312NK0025|12/31/2013 00:00:00|1011312NK0025|1011312NK0025|3930000.000000|0.000000|3930000.000000
1011312NK0021|12/31/2013 00:00:00|1011312NK0021|1011312NK0021|95000000.000000|0.000000|95000000.000000
1011312NK0040|12/31/2013 00:00:00|1011312NK0040|1011312NK0040|741600000.000000|0.000000|741600000.000000
1011312NK0020|12/31/2013 00:00:00|1011312NK0020|1011312NK0020|27500000.000000|0.000000|27500000.000000
101PD131200021|12/31/2013 00:00:00|101PD131200021|101PD131200021|65000000.000000|0.000000|65000000.000000
1011312NK0023|12/31/2013 00:00:00|1011312NK0023|1011312NK0023|95000000.000000|0.000000|95000000.000000
1011312NK0041|12/31/2013 00:00:00|1011312NK0041|1011312NK0041|741600000.000000|0.000000|741600000.000000
101PD131200016|12/31/2013 00:00:00|101PD131200016|101PD131200016|509700.000000|0.000000|509700.000000
1011312NK0027|12/31/2013 00:00:00|1011312NK0027|1011312NK0027|95000000.000000|0.000000|95000000.000000
1011312NK0045|12/31/2013 00:00:00|1011312NK0045|1011312NK0045|2202960.000000|0.000000|2202960.000000
101PD131200020|12/31/2013 00:00:00|101PD131200020|101PD131200020|95000000.000000|0.000000|95000000.000000
1011312NK0049|12/31/2013 00:00:00|1011312NK0049|1011312NK0049|13663755.000000|0.000000|13663755.000000
101PK131200006|12/31/2013 00:00:00|101PK131200006|101PK131200006|0.000000|5400000.000000|-5400000.000000
1011312NK0003|12/31/2013 00:00:00|1011312NK0003|1011312NK0003|2400000.000000|0.000000|2400000.000000
1011312NK0030|12/31/2013 00:00:00|1011312NK0030|1011312NK0030|650500000.000000|0.000000|650500000.000000
1011312NK0007|12/31/2013 00:00:00|1011312NK0007|1011312NK0007|1970000.000000|0.000000|1970000.000000
101PD131200062|12/31/2013 00:00:00|101PD131200062|101PD131200062|219283370.000000|0.000000|219283370.000000
101PD131200059|12/31/2013 00:00:00|101PD131200059|101PD131200059|27500000.000000|0.000000|27500000.000000
1011312NK0017|12/31/2013 00:00:00|1011312NK0017|1011312NK0017|2496000.000000|0.000000|2496000.000000
--- TOTAL ---
SUM(K)   = 11669098886.820000
SUM(D)   = 5164627210.970000
SUM(NET) = 6504471675.850000

GL SA total            = 14159923466.61
SUM(SALDO_KURS*RATE)   = 14099742532.194
Expected NET orphan    = 60180934.416
Actual NET orphan      = 6504471675.850000
