200410125050221|101BTB250300037|0.000000|1502486000.000000|-1502486000.000000
200410125100264|101BTB250300036|0.000000|438384726.000000|-438384726.000000
2512DPB007|101BTB251200032|0.000000|414827827.200000|-414827827.200000
2601DPB002|101BTB251200031|0.000000|369459072.000000|-369459072.000000
2505DPB003|101BTB250300037|0.000000|125164800.000000|-125164800.000000
2505DPB004|101BTB250300037|0.000000|40672000.000000|-40672000.000000
200410125080085|101BTB250800001|0.000000|17500000.000000|-17500000.000000
200410125110065|101BTB251000038|0.000000|17500000.000000|-17500000.000000
200410125110180|101BTB251000043|0.000000|11099952.000000|-11099952.000000
200410125030124|101BTB250200019|0.000000|9000000.000000|-9000000.000000
100310125110055|101BTB251100002|0.000000|2797000.000000|-2797000.000000
200410125110218|101BTB251100039|0.000000|1725000.000000|-1725000.000000
TOTAL=-2950616377.200000
