"tgl","bukti","voucher","item","akun","qty","user","avg_awal_bln","beli_unit_bln","avg_ref","est_nilai_hilang","klasifikasi"
"2026-01-28","10126012200138","","TR.040","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-28","10126012200135","","TR.1004","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-29","10126012200123","","TR.1003","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-29","10126012200130","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-30","10126012200133","","TR.040","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-30","10126012200134","","TR.040","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-03","10126022200055","","TR.1007","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-03","10126022200017","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-03","10126022200012","","TR.1007","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-03","10126022200087","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-04","10126022200053","","TR.1004","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-05","10126022200054","","TR.039","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-05","10126022200018","","TR.1004","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-06","10126022200021","","TR.1004","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-06","10126022200065","","TR.1006","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-06","10126022200032","","TR.039","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-06","10126022200026","","TR.040","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-09","10126022200086","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-10","10126022200052","","TR.1004","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-10","10126022200044","","TR.1006","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-10","10126022200043","","TR.1006","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-10","10126022200042","","TR.1003","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-12","10126022200085","","TR.1006","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-12","10126022200084","","TR.1006","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-12","10126022200082","","TR.040","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-12","10126022200046","","TR.1006","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-12","10126022200045","","TR.911","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-13","10126022200150","","TR.910","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-13","10126022200051","","TR.910","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-16","10126022200092","","TR.040","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-16","10126022200062","","TR.1006","102-001","1.00","NUR","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-18","10126022200078","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-18","10126022200079","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-18","10126022200066","","TR.1007","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-18","10126022200069","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-18","10126022200070","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-18","10126022200071","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-18","10126022200072","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-18","10126022200091","","TR.1006","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-18","10126022200077","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-18","10126022200080","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-18","10126022200073","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-18","10126022200075","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-18","10126022200076","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-18","10126022200074","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-18","10126022200081","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-19","10126022200090","","TR.1003","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-19","10126022200089","","TR.039","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-20","10126022200093","","TR.1006","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-20","10126022200097","","TR.039","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-20","10126022200105","","TR.1006","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-20","10126022200113","","TR.039","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-20","10126022200145","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-23","10126022200099","","TR.1003","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-23","10126022200100","","TR.1007","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-23","10126022200143","","TR.1007","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-23","10126022200142","","TR.1007","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-23","10126022200141","","TR.1007","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-23","10126022200120","","TR.039","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-23","10126022200103","","TR.1007","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-23","10126022200102","","TR.1007","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-23","10126022200101","","TR.1007","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-23","10126022200098","","TR.1003","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-24","10126022200146","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-24","10126022200135","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-25","10126022200131","","TR.910","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-25","10126022200117","","TR.1007","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-25","10126022200130","","TR.910","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-25","10126022200128","","TR.1006","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-26","10126022200133","","TR.039","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-26","10126022200139","","TR.1007","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-27","10126022200137","","TR.040","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-27","10126022200138","","TR.040","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
