=== DIAG109b: Find 533271 root cause - fast queries - 06/06/2026 22:35:34 ===

=== A: GL journal 102-001 Jan 2026 - show ALL unique vouchers by modul/tipe ===
modul | tipe | cnt | Dr | Cr

=== B: tstok1 tipe 88 for TR products Jan 2026 - detail ===
stok_id | tipe | tgl | bukti_id | qty | netto | kurs | netto_rp | netto_hpp
101260100017 | 01/19/2026 00:00:00 | 0.000000 | 211206845.080000 | LEFT10=CIM1088563 PT. MODERN PRIMA TR | AS
101260100007 | 01/12/2026 00:00:00 | 0.000000 | 211206845.080000 | LEFT10=CIM1088562 PT. MODERN PRIMA TR | AS
101260100036 | 01/29/2026 00:00:00 | 0.000000 | 201915420.190000 | LEFT10=CIM1083200 PT. TIRTAMAS COLD T | AS
101260100014 | 01/14/2026 00:00:00 | 0.000000 | 201915420.190000 | LEFT10=CIM1083198 PT. TIRTAMAS COLD T | AS
101260100022 | 01/21/2026 00:00:00 | 0.000000 | 201915420.190000 | LEFT10=CIM1083201 PT. TIRTAMAS COLDTR | AS
101260100012 | 01/13/2026 00:00:00 | 0.000000 | 201915420.190000 | LEFT10=CIM1083199 CV. KREASI SEJUK SA | AS
101260100005 | 01/08/2026 00:00:00 | 0.000000 | 201915420.190000 | LEFT10=CIM1083197 PT. TIRTAMAS COLDTR | AS
101260100027 | 01/26/2026 00:00:00 | 0.000000 | 201915420.190000 | LEFT10=CIM1088322 PT. TIRTAMAS COLD T | AS
101260100035 | 01/28/2026 00:00:00 | 0.000000 | 201915420.190000 | LEFT10=CIM1088321 U/ PT. TIRTAMAS COL | AS
101KM260100133 | 01/01/2026 00:00:00 | 0.000000 | 135825948.000000 | LEFT10=REVISI PERPINDAHAN STOCK DARI  | AS
101260100013 | 01/14/2026 00:00:00 | 0.000000 | 50595413.020000 | LEFT10=CIM1086242 ANTIKA RAYA - PURAN | AS
101260100033 | 01/28/2026 00:00:00 | 0.000000 | 50595413.020000 | LEFT10=CIM1086245 U/ ANUGERAH MANDIRI | AS
101260100028 | 01/26/2026 00:00:00 | 0.000000 | 39585996.540000 | LEFT10=CIM1083705 KRS. ADHIKHARISMA P | AS
101260100002 | 01/05/2026 00:00:00 | 0.000000 | 39585996.540000 | LEFT10=CIM1083259 CV. MITRA ABADI SEJ | AS
101260100025 | 01/26/2026 00:00:00 | 0.000000 | 39585996.540000 | LEFT10=CIM1083268 PT. ULTIMA JAYA     | AS
101260100015 | 01/14/2026 00:00:00 | 0.000000 | 39585996.540000 | LEFT10=CIM1083258 KREASI BERKAH  LOGI | AS
101260100016 | 01/14/2026 00:00:00 | 0.000000 | 39585996.540000 | LEFT10=CIM1083269 CV. SS BERSAUDARA | AS
101260100024 | 01/26/2026 00:00:00 | 0.000000 | 39585996.540000 | LEFT10=CIM1083238 PT. ULTIMA JAYA     | AS
101260100030 | 01/26/2026 00:00:00 | 0.000000 | 38464452.490000 | LEFT10=CIM1079959 ANTIKA RAYA  | AS
101260100020 | 01/19/2026 00:00:00 | 0.000000 | 38464452.490000 | LEFT10=CIM1079955 TRI SAMUDRA | AS
101260100029 | 01/26/2026 00:00:00 | 0.000000 | 35339050.590000 | LEFT10=CIM1086237 RAJA BENUR INDONESI | AS
101260100006 | 01/12/2026 00:00:00 | 0.000000 | 35339050.590000 | LEFT10=CIM1086236 SURYA INDAH PRATAMA | AS
101260100019 | 01/19/2026 00:00:00 | 0.000000 | 35339050.590000 | LEFT10=CIM1086231 M A S - MITRA KENCA | AS
101260100008 | 01/12/2026 00:00:00 | 0.000000 | 34649470.030000 | LEFT10=CIM1076031 UNIT ONLY | AS
101260100001 | 01/05/2026 00:00:00 | 0.000000 | 34649470.030000 | LEFT10=CIM1076043 CV. KREASI SEJUK SA | AS
101260100009 | 01/12/2026 00:00:00 | 0.000000 | 34649470.030000 | LEFT10=CIM1084290 UNIT ONLY | AS
101260100010 | 01/12/2026 00:00:00 | 0.000000 | 34649470.030000 | LEFT10=CIM1084291 UNIT ONLY | AS
101260100011 | 01/12/2026 00:00:00 | 0.000000 | 34649470.030000 | LEFT10=CIM1084299 UNIT ONLY | AS
101260100031 | 01/27/2026 00:00:00 | 0.000000 | 34649470.030000 | LEFT10=CIM1076061 PT. SENTRAS BOX IND | AS
101260100023 | 01/26/2026 00:00:00 | 0.000000 | 34649470.030000 | LEFT10=CIM1084293 PT. SENTRAS BOX IND | AS
101260100021 | 01/20/2026 00:00:00 | 0.000000 | 27165189.600000 | LEFT10=CIM1083391 DELIMA MANDIRI | AS
101260100018 | 01/19/2026 00:00:00 | 0.000000 | 26549047.730000 | LEFT10=CIM1066333 KREASI SEJUK SARANA | AS

=== D: Compare consin_rp vs consin*hppx for TR products ===
produk_id | consin_qty | consin_rp | awal_qty | awal_rp | hppx | consin*hppx | diff(consin_rp - consin*hppx)
TR.038A | 5.00 | 1235617895.3500 | 9.00 | 2224112211.64 | 247123579.071111 | 1235617895.355555 | -0.005555
TR.039A | 5.00 | 1056034225.4000 | 13.00 | 2745688986.00 | 211206845.076923 | 1056034225.384615 | 0.015385
TR.040A | 8.00 | 1615323361.5200 | 9.00 | 1817238781.69 | 201915420.187778 | 1615323361.502224 | 0.017776
TR.1002A | 11.00 | 380891662.2400 | 51.00 | 1767122971.57 | 34649470.030784 | 381144170.338624 | -252508.098624
TR.1003A | 4.00 | 153857809.9600 | 44.00 | 1692435909.43 | 38464452.487045 | 153857809.948180 | 0.011820
TR.1004A | 3.00 | 106017151.7700 | 17.00 | 600763860.10 | 35339050.594118 | 106017151.782354 | -0.012354
TR.1006A | 5.00 | 198715761.5000 | 18.00 | 712547937.65 | 39585996.536111 | 197929982.680555 | 785778.819445
TR.910A | 5.00 | 135825948.0000 | 28.00 | 760625308.80 | 27165189.600000 | 135825948.000000 | 0.000000
TR.911A | 1.00 | 26549047.7300 | 2.00 | 53098095.19 | 26549047.730000 | 26549047.730000 | 0.000000

=== E: For each TR product sold in Jan: sinv_feb vs manually computed nilai ===
stok_id | feb_qty | feb_nilai | feb_hpp_avg | jan_qty | jan_nilai
TR.038A | 6.00 | 1482741474.43 | 247123579.07 | 9.00 | 2224112211.64
TR.038B | 1.00 | 38099711.59 | 38099711.59 | 1.00 | 38099711.59
TR.039A | 9.00 | 1900861605.69 | 211206845.08 | 13.00 | 2745688986.00
TR.040A | 2.00 | 403830840.38 | 201915420.19 | 9.00 | 1817238781.69
TR.1002A | 44.00 | 1524576681.35 | 34649470.03 | 51.00 | 1767122971.57
TR.1003A | 42.00 | 1615507004.46 | 38464452.49 | 44.00 | 1692435909.43
TR.1004A | 14.00 | 494746708.32 | 35339050.59 | 17.00 | 600763860.10
TR.1006A | 12.00 | 475031958.43 | 39585996.54 | 18.00 | 712547937.65
TR.1007A | 3.00 | 151786239.07 | 50595413.02 | 5.00 | 252977065.11
TR.1009A | 1.00 | 54588920.35 | 54588920.35 | 1.00 | 54588920.35
TR.1010A | 2.00 | 121944433.38 | 60972216.69 | 2.00 | 121944433.38
TR.301A | 1.00 | 5922702.00 | 5922702.00 | 1.00 | 5922702.00
TR.400A | 1.00 | 5922702.00 | 5922702.00 | 1.00 | 5922702.00
TR.401A | 2.00 | 11845404.00 | 5922702.00 | 2.00 | 11845404.00
TR.902F | 1.00 | 695000.00 | 695000.00 | 1.00 | 695000.00
TR.903A | 1.00 | 4996953.00 | 4996953.00 | 1.00 | 4996953.00
TR.904A | 1.00 | 28521500.00 | 28521500.00 | 1.00 | 28521500.00
TR.910A | 22.00 | 597634171.20 | 27165189.60 | 28.00 | 760625308.80
TR.911A | 2.00 | 53098095.46 | 26549047.73 | 2.00 | 53098095.19
TR.912A | 2.00 | 99984785.64 | 49992392.82 | 2.00 | 99984785.64
