bukti_id	tgl	currency_count
10119022200070	2/12/2019 12:00:00 AM	1
10124018800065	1/31/2024 12:00:00 AM	1
10126048800004	4/8/2026 12:00:00 AM	1
10117082200177	8/22/2017 12:00:00 AM	1
10119042200248	4/23/2019 12:00:00 AM	1
10120018800015	1/13/2020 12:00:00 AM	1
10123022200063	2/14/2023 12:00:00 AM	1
10124072200155	7/30/2024 12:00:00 AM	1
10125112200035	11/7/2025 12:00:00 AM	1
10115052200132	5/22/2015 12:00:00 AM	1
10117082200077	8/18/2017 12:00:00 AM	1
10117082200082	8/18/2017 12:00:00 AM	1
10119068800011	6/18/2019 12:00:00 AM	1
10119118800018	11/20/2019 12:00:00 AM	1
10122122200058	12/2/2022 12:00:00 AM	1
10119042200165	4/16/2019 12:00:00 AM	1
10119082200128	8/16/2019 12:00:00 AM	1
10120092200046	9/11/2020 12:00:00 AM	1
10120092200051	9/11/2020 12:00:00 AM	1
10121102200071	10/15/2021 12:00:00 AM	1
10125022200014	2/7/2025 12:00:00 AM	1
10115092200083	9/9/2015 12:00:00 AM	1
10117032200030	3/9/2017 12:00:00 AM	1
10118052200010	5/4/2018 12:00:00 AM	1
10118112200065	11/19/2018 12:00:00 AM	1
10121062200076	6/22/2021 12:00:00 AM	1
10122102200044	10/12/2022 12:00:00 AM	1
10124028800017	2/15/2024 12:00:00 AM	1
10124018800001	1/2/2024 12:00:00 AM	1
10126028800014	2/4/2026 12:00:00 AM	1
10117032200106	3/17/2017 12:00:00 AM	1
10121088800059	8/24/2021 12:00:00 AM	1
10123042200071	4/14/2023 12:00:00 AM	1
10123092200024	9/4/2023 12:00:00 AM	1
10124018800066	1/31/2024 12:00:00 AM	1
10126048800005	4/8/2026 12:00:00 AM	1
10117032200159	3/9/2017 12:00:00 AM	1
10117102200171	10/17/2017 12:00:00 AM	1
10119042200249	4/23/2019 12:00:00 AM	1
10120018800016	1/13/2020 12:00:00 AM	1
10123022200064	2/14/2023 12:00:00 AM	1
10124052200095	5/24/2024 12:00:00 AM	1
10125112200036	11/7/2025 12:00:00 AM	1
10117082200078	8/18/2017 12:00:00 AM	1
10117102200066	10/13/2017 12:00:00 AM	1
10117102200071	10/13/2017 12:00:00 AM	1
10122102200100	10/24/2022 12:00:00 AM	1
10122122200059	12/2/2022 12:00:00 AM	1
10117042200169	4/26/2017 12:00:00 AM	1
10117032200105	3/17/2017 12:00:00 AM	1
