PBK-0030|1900000.00|0.00|712500.00|1187500.00
PBK-0033|2550000.00|0.00|929687.50|1620312.50
PBK-0034|1081081.08|0.00|360360.36|720720.72
PBK-0035|23200000.00|0.00|7250000.00|15950000.00
PBK-0036|4850000.00|0.00|1515625.00|3334375.00
PBK-0037|1000000.00|0.00|281250.00|718750.00
PBK-0038|1500000.00|0.00|281250.00|1218750.00
PBK-0039|950000.00|0.00|158333.33|791666.67
PBK-0040|4600000.00|0.00|718750.00|3881250.00
PKT-0001|9000000.00|0.00|9000000.00|0.00
PKT-0002|140000.00|0.00|140000.00|0.00
PKT-0003|136000.00|0.00|136000.00|0.00
PKT-0004|4300000.00|0.00|4300000.00|0.00
PKT-0005|618250.00|0.00|618250.00|0.00
PKT-0006|510000.00|0.00|510000.00|0.00
PKT-0007|1600000.00|0.00|1600000.00|0.00
PKT-0008|16500000.00|0.00|16500000.00|0.00
PKT-0009|6341000.00|0.00|6341000.00|0.00
PKT-0010|1275000.00|0.00|1275000.00|0.00
PKT-0011|775000.00|0.00|775000.00|0.00
PKT-0012|208000.00|0.00|208000.00|0.00
PKT-0013|825000.00|0.00|825000.00|0.00
PKT-0014|180000.00|0.00|180000.00|0.00
PKT-0015|14000000.00|0.00|14000000.00|0.00
PKT-0016|876500.00|0.00|876500.00|0.00
PKT-0017|575000.00|0.00|575000.00|0.00
PKT-0018|950000.00|0.00|950000.00|0.00
PKT-0019|4500000.00|0.00|4500000.00|0.00
PKT-0020|4000000.00|0.00|4000000.00|0.00
PKT-0021|1320000.00|0.00|1320000.00|0.00
PKT-0022|800000.00|0.00|800000.00|0.00
PKT-0023|1340000.00|0.00|1340000.00|0.00
PKT-0024|1150000.00|0.00|1150000.00|0.00
PKT-0025|1100000.00|0.00|1100000.00|0.00
PKT-0026|4200000.00|0.00|4200000.00|0.00
PKT-0027|5820000.00|0.00|5820000.00|0.00
PKT-0028|500000.00|0.00|500000.00|0.00
PKT-0029|850000.00|0.00|850000.00|0.00
PKT-0030|497000.00|0.00|497000.00|0.00
PKT-0031|1575000.00|0.00|1575000.00|0.00
PKT-0032|650000.00|0.00|650000.00|0.00
PKT-0033|3880000.00|0.00|3880000.00|0.00
PKT-0034|430000.00|0.00|430000.00|0.00
PKT-0035|346300.00|0.00|346300.00|0.00
PKT-0036|2400000.00|0.00|2400000.00|0.00
PKT-0037|475000.00|0.00|475000.00|0.00
PKT-0038|24415530.00|0.00|24415530.00|0.00
PKT-0039|770000.00|0.00|770000.00|0.00
PKT-0040|3400000.00|0.00|3400000.00|0.00
PKT-0041|3750000.00|0.00|3750000.00|0.00
PKT-0042|5480000.00|0.00|5480000.00|0.00
PKT-0043|8150000.00|0.00|8150000.00|0.00
PKT-0044|710000.00|0.00|710000.00|0.00
PKT-0045|910000.00|0.00|910000.00|0.00
PKT-0046|800000.00|0.00|800000.00|0.00
PKT-0047|8750000.00|0.00|8750000.00|0.00
PKT-0048|3500000.00|0.00|3500000.00|0.00
PKT-0049|18900000.00|0.00|18900000.00|0.00
PKT-0050|5900000.00|0.00|5900000.00|0.00
PKT-0051|18954660.00|0.00|18954660.00|0.00
PKT-0052|16450000.00|0.00|16450000.00|0.00
PKT-0053|4700000.00|0.00|4700000.00|0.00
PKT-0054|2699000.00|0.00|2699000.00|0.00
PKT-0055|2300000.00|0.00|2300000.00|0.00
PKT-0056|6700000.00|0.00|6700000.00|0.00
PKT-0057|2475000.00|0.00|2475000.00|0.00
PKT-0058|5200000.00|0.00|5200000.00|0.00
PKT-0059|6100000.00|0.00|6100000.00|0.00
PKT-0060|3259000.00|0.00|3259000.00|0.00
PKT-0061|2499000.00|0.00|2499000.00|0.00
PKT-0062|2175000.00|0.00|2175000.00|0.00
PKT-0063|6546750.00|0.00|6546750.00|0.00
