'101KM260100019','2026-01-05 00:00:00.000','102-110',0.000000,2444564.450000,'PT. MITRA ABADI SEJATI (MAS)/SV-600 24V/CIM 1083259/CD EURO 4/004139  06871','101KM260100019'
'101KM260100019','2026-01-05 00:00:00.000','102-102',0.000000,137405.400000,'PT. MITRA ABADI SEJATI (MAS)/SV-600 24V/CIM 1083259/CD EURO 4/004139  06871','101KM260100019'
'101KM260100024','2026-01-05 00:00:00.000','102-110',0.000000,1398500.000000,'PT. SENTRAS BOX INDONEISA KE-2/T-1200R/CIM 1083288/HINO FL/18327  06799','101KM260100024'
'101260100002','2026-01-05 00:00:00.000','102-020',39585996.540000,0.000000,'CIM1083259 CV. MITRA ABADI SEJATI                                 - NEW GALLERI AC','101260100002'
'101260100002','2026-01-05 00:00:00.000','102-001',0.000000,39585996.540000,'CIM1083259 CV. MITRA ABADI SEJATI                                 - NEW GALLERI AC','101260100002'
'101260100001','2026-01-05 00:00:00.000','102-020',34649470.030000,0.000000,'CIM1076043 CV. KREASI SEJUK SARANA                        UNIT KE-2','101260100001'
'101260100001','2026-01-05 00:00:00.000','102-001',0.000000,34649470.030000,'CIM1076043 CV. KREASI SEJUK SARANA                        UNIT KE-2','101260100001'
'10103260100001','2026-01-05 00:00:00.000','102-001',0.000000,247123579.070000,'TR-UNIT TRUCK THERMO KING','10103260100001'
'101BTB260100003','2026-01-05 00:00:00.000','102-110',4195500.000000,0.000000,'(LOKAL) ALBERT AL1490','101BTB260100003'
'10103260100002','2026-01-05 00:00:00.000','102-001',0.000000,247123579.070000,'TR-UNIT TRUCK THERMO KING','10103260100002'
'101BTB260100004','2026-01-05 00:00:00.000','102-110',4195500.000000,0.000000,'(LOKAL) ALBERT AL1327','101BTB260100004'
'101BTB260100039','2026-01-05 00:00:00.000','102-110',1110000.000000,0.000000,'(LOKAL) MULIA JAYA 9976','101BTB260100039'
'101KM260100114','2026-01-05 00:00:00.000','102-101',0.000000,961639.170000,'PERL.UNIT SV-600 12V U/ ANUGERAH MITRA  KBS2601/004','101KM260100114'
'101KM260100115','2026-01-05 00:00:00.000','102-110',0.000000,10.000000,'RUBAH PULLEY COMPR SV-400 12V KREASI SEJUK  KBS2601/003','101KM260100115'
'101KM260100116','2026-01-05 00:00:00.000','102-110',0.000000,8.340000,'PERL. UNIT SV-600 24V NEW GALLERY AC  KBS2601/002','101KM260100116'
'101KM260100116','2026-01-05 00:00:00.000','102-101',0.000000,789721.220000,'PERL. UNIT SV-600 24V NEW GALLERY AC  KBS2601/002','101KM260100116'
'101KM260100117','2026-01-05 00:00:00.000','102-101',0.000000,3694242.730000,'PERL. UNIT RV-300 12V DELIMA MANDIRI  KBS2601/001','101KM260100117'
'10203260100001','2026-01-05 00:00:00.000','102-020',0.000000,247123579.070000,'101251200064 PT. KRISTAL TRANSPORTASI INDONESIA                                  UNIT KE-4','10203260100001'
'10203260100001','2026-01-05 00:00:00.000','102-001',247123579.070000,0.000000,'101251200064 PT. KRISTAL TRANSPORTASI INDONESIA                                  UNIT KE-4','10203260100001'
'10203260100002','2026-01-05 00:00:00.000','102-020',0.000000,247123579.070000,'101251200060 PT. SENTRAS BOX INDONESIA - DUA PUTRA PERKASA                 UNIT KE-1','10203260100002'
'10203260100002','2026-01-05 00:00:00.000','102-001',247123579.070000,0.000000,'101251200060 PT. SENTRAS BOX INDONESIA - DUA PUTRA PERKASA                 UNIT KE-1','10203260100002'
'10102260100001','2026-01-05 00:00:00.000','102-110',0.000000,942540.000000,'L-LOKAL','10102260100001'
'10102260100002','2026-01-05 00:00:00.000','102-101',0.000000,3781137.320000,'TS-SPARE PARTS THERMO KING','10102260100002'
'10102260100003','2026-01-05 00:00:00.000','102-101',0.000000,806063.150000,'TS-SPARE PARTS THERMO KING','10102260100003'
'10102260100004','2026-01-05 00:00:00.000','102-110',0.000000,642285.740000,'LA-SPARE PARTS PERLENGKAPAN','10102260100004'
'101BTB260100005','2026-01-06 00:00:00.000','102-103',1500000.000000,0.000000,'(SPARE PART NORDIC) SEJUK SEJAHTERA SENTOSA 3S05.2601004','101BTB260100005'
'10103260100005','2026-01-06 00:00:00.000','102-001',0.000000,38464452.490000,'TR-UNIT TRUCK THERMO KING','10103260100005'
'10101260100001','2026-01-06 00:00:00.000','102-103',0.000000,63105.710000,'NDS-SPARE PART NORDIC','10101260100001'
'10101260100001','2026-01-06 00:00:00.000','102-102',0.000000,97152.290000,'TL-SPARE PARTS THERMO KING LOKAL','10101260100001'
'10101260100001','2026-01-06 00:00:00.000','102-101',0.000000,300547.850000,'TS-SPARE PARTS THERMO KING','10101260100001'
'10101260100001','2026-01-06 00:00:00.000','102-101',0.000000,232717.200000,'TS-SPARE PARTS THERMO KING','10101260100001'
'10101260100001','2026-01-06 00:00:00.000','102-101',0.000000,41568.840000,'TS-SPARE PARTS THERMO KING','10101260100001'
'10101260100001','2026-01-06 00:00:00.000','102-101',0.000000,63044.220000,'TS-SPARE PARTS THERMO KING','10101260100001'
'10101260100001','2026-01-06 00:00:00.000','102-101',0.000000,58070.180000,'TS-SPARE PARTS THERMO KING','10101260100001'
'10101260100001','2026-01-06 00:00:00.000','102-101',0.000000,79399.520000,'TS-SPARE PARTS THERMO KING','10101260100001'
'10101260100001','2026-01-06 00:00:00.000','102-101',0.000000,968553.090000,'TS-SPARE PARTS THERMO KING','10101260100001'
'10101260100001','2026-01-06 00:00:00.000','102-101',0.000000,910159.470000,'TS-SPARE PARTS THERMO KING','10101260100001'
'10101260100002','2026-01-06 00:00:00.000','102-110',0.000000,763815.470000,'L-LOKAL','10101260100002'
'10101260100002','2026-01-06 00:00:00.000','102-101',0.000000,172189.540000,'TS-SPARE PARTS THERMO KING','10101260100002'
'10101260100002','2026-01-06 00:00:00.000','102-101',0.000000,161212.630000,'TS-SPARE PARTS THERMO KING','10101260100002'
'10101260100004','2026-01-06 00:00:00.000','102-110',0.000000,41017.740000,'L-LOKAL','10101260100004'
'10101260100004','2026-01-06 00:00:00.000','102-110',0.000000,526682.160000,'L-LOKAL','10101260100004'
